event_name,division_name,athlete_name,athlete_canonical_name,athlete_profile_url,age_group,position,position_ag,finish_time,analysis_url,has_splits,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,ski,sled_push,sled_pull,burpee_bround_jumps,row,farmers_carry,lunges,wallballs
glasgow_2025,elite_men,James Kelly,unknown,unknown,unknown,1,unknown,3203,https://www.hyresult.com/result/LR3MS4JI2B6A7F,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasgow_2025,elite_men,Tim Wenisch,tim-wenisch,https://www.hyresult.com/athlete/tim-wenisch,unknown,2,unknown,3271,https://www.hyresult.com/result/LR3MS4JI2B8C64,true,226,211,222,227,224,225,225,246,213,126,197,191,229,73,202,234
glasgow_2025,elite_men,Rich Ryan,rich-ryan,https://www.hyresult.com/athlete/rich-ryan,unknown,3,unknown,3294,https://www.hyresult.com/result/LR3MS4JI2C1BB9,true,241,213,238,230,223,219,219,259,227,122,186,181,238,74,216,208
glasgow_2025,elite_men,Beau Wills,beau-wills,https://www.hyresult.com/athlete/beau-wills,unknown,4,unknown,3302,https://www.hyresult.com/result/LR3MS4JI2B6AD4,true,240,216,234,235,234,226,232,254,225,142,190,176,235,69,188,206
glasgow_2025,elite_men,Pelayo Menendez Fernandez,pelayo-menendez-fernandez,https://www.hyresult.com/athlete/pelayo-menendez-fernandez,unknown,5,unknown,3323,https://www.hyresult.com/result/LR3MS4JI2B6A7B,true,240,212,230,229,226,230,225,256,225,144,187,164,237,72,200,246
glasgow_2025,elite_men,Jake Dearden,unknown,unknown,unknown,6,unknown,3344,https://www.hyresult.com/result/LR3MS4JI2B9E71,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasgow_2025,elite_men,Sean Noble,unknown,unknown,unknown,7,unknown,3363,https://www.hyresult.com/result/LR3MS4JI2BAEC0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasgow_2025,elite_men,Tomas Tvrdik,tomas-tvrdik,https://www.hyresult.com/athlete/tomas-tvrdik,unknown,8,unknown,3363,https://www.hyresult.com/result/LR3MS4JI2B7B9C,true,240,218,229,234,233,234,237,262,219,140,179,190,237,70,213,228
glasgow_2025,elite_men,Hunter McIntyre,hunter-mcintyre,https://www.hyresult.com/athlete/hunter-mcintyre,unknown,9,unknown,3364,https://www.hyresult.com/result/LR3MS4JI2B5A2C,true,228,214,227,228,234,231,228,257,208,138,179,195,231,72,228,266
glasgow_2025,elite_men,Jannik Czapla,unknown,unknown,unknown,10,unknown,3379,https://www.hyresult.com/result/LR3MS4JI2B8C1F,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasgow_2025,elite_men,Graham Halliday,graham-halliday,https://www.hyresult.com/athlete/graham-halliday,unknown,11,unknown,3467,https://www.hyresult.com/result/LR3MS4JI2BAEE1,true,241,215,229,236,239,239,245,280,223,147,201,185,244,82,253,208
glasgow_2025,elite_men,Afan Humphries,afan-humphries,https://www.hyresult.com/athlete/afan-humphries,unknown,12,unknown,3491,https://www.hyresult.com/result/LR3MS4JI2B4846,true,237,217,233,230,240,238,234,266,225,131,210,204,241,81,230,274
glasgow_2025,elite_men,Ryan Kent,ryan-kent,https://www.hyresult.com/athlete/ryan-kent,unknown,13,unknown,3515,https://www.hyresult.com/result/LR3MS4JI2B8C4A,true,232,213,228,236,241,239,238,263,212,149,199,201,236,77,237,314
chicago_2025,elite_men,Tim Wenisch,tim-wenisch,https://www.hyresult.com/athlete/tim-wenisch,unknown,1,unknown,3233,https://www.hyresult.com/result/LR3MS4JI33164E,true,238,204,220,232,234,216,238,164,223,134,219,159,229,99,187,237
chicago_2025,elite_men,Hunter McIntyre,hunter-mcintyre,https://www.hyresult.com/athlete/hunter-mcintyre,unknown,2,unknown,3238,https://www.hyresult.com/result/LR3MS4JI33164F,true,238,204,223,240,243,222,248,174,220,121,221,154,236,105,187,202
chicago_2025,elite_men,Dylan Scott,dylan-scott,https://www.hyresult.com/athlete/dylan-scott,unknown,3,unknown,3298,https://www.hyresult.com/result/LR3MS4JI33164D,true,253,211,233,245,246,222,248,174,228,136,209,157,231,90,188,227
chicago_2025,elite_men,James Kelly,james-kelly,https://www.hyresult.com/athlete/james-kelly,unknown,4,unknown,3327,https://www.hyresult.com/result/LR3MS4JI331648,true,237,209,232,248,252,216,238,172,230,146,262,163,239,94,189,200
chicago_2025,elite_men,Jonathon Wynn,jonathon-wynn,https://www.hyresult.com/athlete/jonathon-wynn,unknown,5,unknown,3349,https://www.hyresult.com/result/LR3MS4JI331655,true,255,216,234,247,247,224,244,174,235,152,194,186,243,92,190,216
chicago_2025,elite_men,Tom Rodgers,tom-rodgers,https://www.hyresult.com/athlete/tom-rodgers,unknown,6,unknown,3354,https://www.hyresult.com/result/LR3MS4JI331653,true,253,210,232,241,241,216,241,170,234,152,225,192,239,92,198,218
chicago_2025,elite_men,Hidde Weersma,unknown,unknown,unknown,7,unknown,3369,https://www.hyresult.com/result/LR3MS4JI331654,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicago_2025,elite_men,Alexander Roncevic,alexander-roncevic,https://www.hyresult.com/athlete/alexander-roncevic,unknown,8,unknown,3381,https://www.hyresult.com/result/LR3MS4JI331647,true,240,205,235,246,254,232,257,179,232,137,226,174,244,94,218,208
chicago_2025,elite_men,Beau Wills,beau-wills,https://www.hyresult.com/athlete/beau-wills,unknown,9,unknown,3411,https://www.hyresult.com/result/LR3MS4JI331651,true,254,215,238,253,251,229,259,182,236,148,208,168,242,90,189,249
chicago_2025,elite_men,Graham Halliday,graham-halliday,https://www.hyresult.com/athlete/graham-halliday,unknown,10,unknown,3421,https://www.hyresult.com/result/LR3MS4JI331650,true,251,209,237,250,248,230,258,185,233,151,220,181,244,95,206,223
chicago_2025,elite_men,Rich Ryan,rich-ryan,https://www.hyresult.com/athlete/rich-ryan,unknown,11,unknown,3422,https://www.hyresult.com/result/LR3MS4JI331649,true,239,217,245,262,252,220,253,191,238,117,200,187,249,110,213,229
chicago_2025,elite_men,Pelayo Menendez Fernandez,pelayo-menendez-fernandez,https://www.hyresult.com/athlete/pelayo-menendez-fernandez,unknown,12,unknown,3522,https://www.hyresult.com/result/LR3MS4JI331652,true,250,212,245,265,273,246,268,201,239,158,224,172,243,97,187,242
chicago_2025,elite_men,Tomas Tvrdik,tomas-tvrdik,https://www.hyresult.com/athlete/tomas-tvrdik,unknown,13,unknown,3699,https://www.hyresult.com/result/LR3MS4JI33164C,true,248,217,235,257,272,256,285,197,230,153,230,211,255,124,271,258
chicago_2025,elite_men,Rylan Schadegg,rylan-schadegg,https://www.hyresult.com/athlete/rylan-schadegg,unknown,14,unknown,3702,https://www.hyresult.com/result/LR3MS4JI33164B,true,252,210,236,256,276,228,275,191,231,138,218,206,240,126,223,396
